CourseName,Songs
Opening,ItsStillRockAndRollToMe,InTheAirTonight,BeatIt,EcstasyOfGold,Birdwatching,EyesWithoutAFace,BadLuck,HaveYouEverSeenTheRain,Magick,DropsOfJupiter(TellMe),EverlastingLight,ManEater,Song2,TheLanding
LuigiCircuit,SevenNationsArmy,RockAndRollPart2,StartMeUp
MooMooMeadows,SweetHomeAlabama,BeforeHeCheats,SweetCaroline
MushroomGorge,LetItHappen,ElectricFeel,SilverSoul,PlasticBeach
ToadsFactory,AnotherBrickInTheWall,Toxicity
MarioCircuit,KnifeTalk,RiseandShine,LetItRock
CoconutMall,AllOfTheLights,FlashingLights,Ni**asInParis
DKSummit,ImmigrantSong,BlackSkinhead,TheZoo
WariosGoldMine,CrazyTrain,HotN*gga,SmellsLikeTeenSpirit
DaisyCircuit,Wasted,ImShippingUpToBoston,HeartOfTheCity
KoopaCape,TongueTied,MrBlueSky
MapleTreeway,UnderCoverOfDarkness,TheSpins
GrumbleVolcano,NiceOut,DontStopBelievin,Pompeii
DryDryRuins,Power,BullsOnParade,RockAndRollAllNite
MoonviewHighway,JumpAround,BadMoonRising
BowsersCastle,FuckinProblem,BadToTheBone,HowlinForYou
RainbowRoad,TheFinalCountdown,Jump,DreamOn
PeachBeach,ILoveRocknRoll,RebelYell,OnlyaFoolWouldSayThat
YoshiFalls,DoIWannaKnow,RoadhouseBlues,Wonderwall
GhostValley,BackInBlack,PaintItBlack,KillerQueen
MarioRaceway,SoundsOfSilence,SavingGrace,FeelGoodInc
SherbertLand,IceIceBaby,Snow,ColdAsIce
ShyGuyBeach,TNT,JukeBoxHero,YouShookMeAllNightLong
DelfinoSquare,TheBoysAreBackInTown,DontBringMeDown,ParadiseCity
WaluigiStadium,Sail,PersonalJesus,OneWayOrAnother
DesertHills,SweetChildOMine,RunninDownADream,Californication
BowserCastle3,HighwayToHell,HellsBells,LifeISAHighway
JungleParkway,WelcomeToTheJungle,EyeOfTheTiger
GCNMarioCircuit,FortunateSon,WhatsUp,YouMakeMyDreams
MarioCircuit3,HouseOfTheRisingSun,Summer69,OldTimeRock&Roll
PeachGardens,DooWop,HappyTogether
DKMountain,Thunderstruck,Thunderstruck
N64BowsersCastle,Zombie,Zombie
